epoch,train_loss,val_acc,seconds
1,1.459594,0.204082,7.502
2,1.285195,0.387755,5.612
3,1.193876,0.448980,5.504
4,1.130485,0.591837,5.561
5,1.098698,0.408163,5.354
6,1.044317,0.551020,5.288
7,0.991075,0.489796,5.375
8,0.982014,0.510204,5.391
9,0.982009,0.469388,5.376
10,0.950178,0.591837,5.366
11,0.891464,0.530612,5.327
12,0.881240,0.510204,5.380
13,0.928020,0.551020,5.364
14,0.874467,0.653061,5.396
15,0.904312,0.551020,5.382
16,0.819621,0.551020,5.321
17,0.818914,0.653061,5.300
18,0.816197,0.551020,5.340
19,0.807806,0.571429,5.312
20,0.767735,0.612245,5.326
21,0.767402,0.714286,5.269
22,0.771192,0.612245,5.390
23,0.736162,0.653061,5.279
24,0.745998,0.714286,5.275
25,0.724093,0.489796,5.299
26,0.737850,0.653061,5.230
27,0.675913,0.632653,5.359
28,0.660465,0.612245,5.275
29,0.689853,0.653061,5.337
30,0.667395,0.346939,5.330
